gene	0h_AL	1h_AL	1h_FAST	3h_AL	3h_FAST	4h_RF	6h_AL	6h_FAST	12h_AL	12h_FAST	24h_AL	24h_FAST
Arel1	3.2596346818011472	2.1273820470135982	5.487894232145285	3.1317577294396255	7.199841302054342	6.28484655600938	2.5604514806706726	8.492651392755409	0.7839804191369042	1.926286111049576	3.2638323846448736	16.421613455217067
Arf1	35.026491337217706	41.576105114160264	46.024794745783794	55.8935116436697	57.176155485826456	45.50775692224559	45.60842795498503	53.86066821780267	57.39838854692982	55.363649095174594	38.50038104746653	50.27105265192435
Arf2	2.1220855772334297	1.7700892531763521	3.337509376498166	3.3373487021459747	1.7122946751272432	0.18792920507568378	1.9137178399470431	1.2116607634777652	0.5701527514000767	1.0449927342373155	1.3642433961684564	2.749000606242021
Arf3	4.017166438189335	2.373715578018964	1.8074086917993144	2.9606121579319375	3.6757559362570342	0	2.433102892186062	2.5790356937914543	1.5272217976456721	1.3568405293764474	3.6887657393453868	1.4471873981048509
Arf4	42.20555582562382	34.00747911575864	31.37730565611293	42.497824462857686	33.82175712763958	59.89439483270306	37.98857215905496	32.669883474417595	28.340022573965406	33.83882151161486	33.55770261809888	34.900919472408454
Arf5	107.18535137382385	53.09988127007914	38.514389454911836	37.109961467370155	56.5340624736856	54.836856911720496	58.2795982276639	47.03903758919544	43.52132634593205	10.55977495425433	81.94438106443793	18.285853360790828
Arf6	13.724099395395493	12.963616765028277	4.810574776366639	4.9225813783625485	8.045314971560813	7.332841003606876	9.630954263014226	3.0017773626681308	2.118750982952549	3.6310216793614902	9.09043391298132	5.81198245299746
Arfgap1	0	2.9324100126230386	0	1.7397806360662105	3.3009287784153836	0	1.057814264913769	0.04022436842083845	0	0.42256255681417787	1.002226052239601	1.5569046671349005
Arfgap2	63.93493055258974	68.04501433574738	47.41934254631316	60.86335395880811	52.624223985129355	45.566640863437584	42.65181183486618	47.83395730761107	42.778128675314306	20.461050993109954	43.8843319850217	49.262395112669864
Arfgap3	4.1753414604496895	1.1147319074345365	1.5697389846265488	5.5632891332913035	1.9853932161496457	1.2950122128790067	3.5354367756790417	0.9762304959270408	1.6241898580651528	0.736124822088421	1.6219862471991038	2.953860216760341
